"Title","Date","Rating","Content"
"Exciting original story from Disney.","1 November 2013","3/10","This movie's story was written solely by Disney Studios, about a young lion, Simba, who was forced into exile by his evil Uncle Scar, who wants to take control of the jungle before Simba claims it. Life in the jungle declines under Scar's rule as Simba abandons his identity and meets new friends, Timon and Pumbaa, in another part of the jungle.Roger Allers and Rob Minkoff directed an exciting movie, adopting more of what I think are some of mainstream Hollywood's intense drama and comedy styles, seen in such parts like Uncle Scar and his crafty hyena goons chasing away poor Simba like gangsters pursuing a helpless hero, and the parts of the more modern day jokes and punchlines made by Timon and Pumbaa. The movie is also full of drama and action that will attract an audience of all ages, providing a great source of entertainment. It is compelling to see how Simba tries to wrestle his way out of his doubts as he tries to find his true identity and compelling to see Simba's family try to overcome adversary under Scar's rule. This is also a powerful story about courage, duty and identity (noticable as Simba tries to find his way) and the importance of family. Hans Zimmer did a good job on the music score and Elton John wrote some memorable songs like ""Circle of Life"" and ""Can You Feel The Love Tonight."" The toe-tapping ""I Just Can't Wait To Be King"" is my favorite.The characters are likable and, like the plot's style, take on more of a mainstream Hollywood approach. This movie differs from the more earlier films such as ""Cinderella"" and ""The Jungle Book,"" and even the later films such as ""The Little Mermaid"" and ""Beauty and the Beast."" ""The Lion King"" doesn't have that Disney touch you've come to expect and love in many of the fairytale and adventure movies, signaling that Disney films have evolved immensely over time. Even though it's not one of the more conventional Disney films, ""The Lion King"" is still a very good movie to watch due to its original concept, captivating story and memorable characters.Grade B+"
"A classic, but..","8 March 2017","9/10","One can't argue, that ""The Lion King"" is one of those movies people expect you to know when the conversation comes to films. After years of missed chances I finally managed to close this hole. Of course, as far as I can tell, I'm not exactly the peer group for this title, so I won't be judging too hard.The movie tells a nice story. One of those typical stories of good and evil, betrayal and loyalty and the difficulties of finding yourself. Wouldn't it be for the animals, it could as well be some historical drama. Whilest you don't get bored, partly due to the humorous sidekicks, the plot in itself is not really all to innovative.The big strength of the film is in my eyes the soundtrack, that produced quite a few classics that even I could recall. Singing in movies is always a risky thing but in this case reminds me of the old day Disney movies, where singing was almost something like a brand mark.""The Lion King"" is short, but I'm sure children will be able to fall in love with the exceptionally drawn characters quite easily and therefor have their fun. Personally, I didn't quite see why this particular title has so much more credit than many other comparable movies but it entertained me well for an evening."
"Clichéd story and passive central character make for a weak Disney entry","10 October 2014","10/10","Unlike the majority of its Walt Disney brethren, The Lion King was written directly for the screen and does not find its roots in either a fairy tale or popular children's literature. It relates the story of the young lion Simba, who is destined to become king of the pride one day when his regal father Mufasa steps down. This does not sit well with Mufasa's villainous brother Scar, who concocts a scheme to eliminate Mufasa and then convince a guilt-stricken Simba that the death is his own fault and he should exile himself from the pride. Simba befriends the unlikely duo of a meercat and warthog and they become friends during his exile, until his childhood friend Nala arrives to apprise Simba of the ruin that Scar's villainy has left the pride and beg for Simba's return.Although the plot is fairly familiar and clichéd for a new story, there is a lot that could be done here. Unfortunately, Simba is such a passive, uninteresting central character that it is difficult to care much about what happens. Other than Simba, Mufasa and Scar, the pride pretty much blurs together. Simba's mother is a virtual non-entity and Simba's female friend Nala is gone for so much of the running time that you nearly forget she is a character in the film. Other than the comical meercat and warthog team (well voiced by Nathan Lane and Ernie Sabella), none of the supporting characters are especially memorable, and that duo has little to no impact on the climax. It also does not help that Scar (lazily voiced by Jeremy Irons) is a fairly dull villain. His first act number where he sings about his nefarious plans is disturbing, not only because of Irons horrendous singing, but because someone had the ill-conceived notion of having hordes of his hyena henchmen goose-stepping in the background like Nazi soldiers, which adds a heavy weight that this slight film cannot carry. The film also has a fair amount of dead spots between songs and fight scenes.The animation is typically first-rate, but not as impressive or imaginative as that found in its predecessors, even as recent as Beauty and the Beast and Aladdin. The vocal talent is a mixed bag as well. While Lane and Sabella are stand-outs and James Earl Jones provides the suitably dignified tones for Mufasa, Matthew Broderick is an incredibly bland choice to voice the adult Simba. Ditto, Moira Kelly is not much better as Nala. Whoopi Goldberg and Cheech Marin are not particularly menacing as some of the hyenas.Huge gaps in the story seem to smack of really lazy writing. Mufasa is supposed to be an insightful leader, yet is completely blind-sided by the evil plots of his nasty brother, whose perfidy is ridiculously blatant. Once Scar is king and demonstrates that he is terrible, the film would have us believe that not only are there no other male lions to challenge him, but that the lionesses would passively put up with him destroying the pride without any show of resistance. This, of course, sets up the scene for Simba to return as a savior and rescue the pride while facing down Scar, but there are several things wrong. First, the film never convinces us that there is a need for anyone to await Simba's return when the pride could have banded together themselves to challenge Scar and his minions instead of suffering. And second, Simba does nothing during the course of the film to demonstrate that he could be anyone's savior other than that he is Mufasa's son and the plot rather ham-handedly demands it of him.I am also not a fan of the soundtrack written by Elton John. The film opens with the ""The Circle of Life,"" which is a sequence that heralds the birth of Simba, introduces the main characters and sets the stage. Unfortunately, I find this song comes off like one of the worst examples of faux-inspirational Christian rock. ""I Just Can't Wait to Be King"" sung by the young Simba feels like a third-rate Michael Jackson riff. ""Hakuna Matata"" is probably the best of the songs, but it is surprisingly forgettable. And the less said about the dirge-like love ballad ""Can You Feel the Love Tonight"", the better. It is a horrible song badly shoe-horned into the film. Old childhood friends Simba and Nala rediscover each other and then immediately start fighting, then the film pauses for the love ballad, before they go back to fighting and parting. It is a clumsily staged sequence and one that more often than not has the little ones tuning out. Ironically, the song that sticks with the viewer after the film ends is ""The Lion Sleeps Tonight"", the old 1950s nutshell which gets a few bars sung in the film and easily outclasses John's pretentious and precious piffles.Purportedly this is Walt Disney's biggest box office success, but it is hard to understand why or how given some of the landmark classics in animation that Disney has provided in the past. I don't find the film fun, or memorable, or particularly astonishing. In fact, barring the dreadful Hercules, I would rank this as one of the worst of the Disney films."
"You Are More Than What You Have Become","15 June 2014","10/10","So...I'm going to try not to be too biased here...I'm going to compose myself the best I can...But, I'm not going to lie, that's going to be really hard seeing as though I AM IN LOVE WITH THIS MOVIE!!! I know a lot of people say this film is overrated and all that jazz, but LOOK AT THIS FILM and tell me you don't love it too!ANIMATION: Spectacular! This movie looks great! Of course it has an epic, grand quality about it, and the animation really takes it to another level! The stampede scene has got to be one of the biggest scenes ever put to traditional animation!SONGS/MUSIC: This movie brings us the Tim Rice/Elton John team. Even though there's no Alan Menken or Howard Ashman, these songs are still great! They fit the movie's tone, they're not out of place, and they are ALL memorable! This Disney movie has the best soundtrack - there is no Number One hit song from this film - ALL the songs are Number One! I don't just love the songs, but I am in mad love with Hans Zimmer's score! It's beautiful! It tells the story and fits the mood perfectly! The main theme, ""Lea Halalela,"" is fan-frickin-tastic! Gosh, if that theme were a woman, I'd marry her! But the music is what takes us to Africa (which country are we in? I don't know...), and if it weren't for Lebo M's contributions, NO music in this movie would be great!ROMANCE: For as much as I love this movie, I have to admit that this is one of the weak aspects of the film. I love the ""Can You Feel the Love Tonight"" number; I love the song, and I love looking at the animation. But...why is the song here? Why is this scene here? First of all, it doesn't match the story at all. It feels like the scene takes place because...Disney movies have romance scenes! Secondly, I don't believe Simba and Nala are in love. Look at how other Disney films show love: characters are smiling, singing, happy, and would do anything to be with their romantic interest. Here, Simba and Nala are arguing and yelling at each other after the scene. I'll tell you what, though, if you look at Nala as she's laying on her back during the song number, look at how she looks at Simba. That says, ""I want you, lion man.""CHARACTERS: I am in love with these characters! Much like the ""Beauty and the Beast"" gang, there's not a person...or animal...in this movie I don't dislike! My two favorite characters are Mufasa and Rafiki. Mufasa wreaks of power! The reason we hate Scar so much is because he kills Mufasa, who we love so much! He is the father of Disney movie fathers - Disney fathers period! He says one of my favorite lines: ""Look inside yourself, Simba. You are more than what you have become."" OOOH, that line just OOZES power - just BLEEDS power!!! Rafiki is awesome because he is both funny and wise. He knows just what to say and just what to do for the right moment. He has funny lines like ""It means you are a baboon, and I am not!"" Yet he knows when to hit Simba over the head with a stick and tell him to learn from his mistakes. Go Rafiki!STORY: I think the story is excellent. I love watching it, I love watching Simba's arc, I think it is brilliant...Though, there's one other problem the movie has that lies in the story. After Mufasa dies and Simba cries over his body, Scar comes and tells him to run away. Question: if they're all alone, why doesn't Scar just kill Simba himself? At first I thought it was because he didn't want Simba's blood on his hands, but that can't be right. First of all, he has Mufasa's blood on his hands. Second of all, he has a violent fight with Simba at the end of the movie. If Scar wants the throne so badly that he puts together an attack against two children, a Nazi team of hyenas, and a wildebeest stampede, I don't think he was above killing a child. The movie could have been over just like that; why didn't he kill Simba? The only reason I can come up with is ""If he killed him, there'd be no movie."" Well, that's weak. If that's the case, then the movie didn't need to happen. We should have gotten a better reason for the following events that took place.CONCLUSION: Despite the two problems I have with the movie, I still adore it! It's epic, it's dramatic, it's funny, it's musical! It is large! It has one of the saddest moments ever in Disney. It is one of the studio's biggest movies for a reason! Find out for yourself in the big Circle of Life! BOOYIKA!"
"The Greatest Disney Film Ever Made","15 September 2011","9/10","This is the most incredible movie I have ever seen. Sounds silly? It may, considering it is an animated film which a majority of people don't take seriously when in the subject of the greatest movies anyone has ever seen. I personally love animated anything, whether it be cartoons, movies, shorts, etc. The Lion King *IS* the king of all Disney films. We all know the tragic tale of the death of Simba's father, even if we had not seen the movie, thus recognition and praise this movie receives absolutely deserves it no less. This is my favourite movie. The art is simply fantastic. The animation is just breathtaking. The story -- though based off of 'Hamlet' -- is beautiful and will leave you in tears. The voice actors and actresses did an impeccable job for each of the characters' personalities. I especially adore the music. The Lion King had introduced me to African music and I have loved it ever since. The songs in the movie such as ""Can You Feel The Love Tonight"" (one sung by Elton John, and one sung by Kristle Edwards along with the voices of adult Simba and Nala, both pieces of which I love and listen to everyday) and ""Hakuna Matata"" are divine and catchy, not to mention adorable. I cannot say how much I love this film. I'm in love with it. The producers and directors and every person who had contributed to the making of it did a marvelous job. Overall, this movie is PERFECT. I've watched it a hundred times already and I'll watch it a hundred more without feeling the slightest bit sick of it."
"A movie to be watched by every Animator","19 August 2017","NA","I being an Animator watched this movie over and over. The quality of animation, movement and voices behind the characters all were so good I have this movie in my collection.This movie was the best animated movie for me in 1994, but still is. The creativity in screenplay, dialog, character development, environment, music, etc. all are masterpieces. This movie is outstanding and exceptional for me."
"An emotional masterpiece for all ages","27 November 2011","NA","Directed by Roger Allers and Rob Minkoff, The Lion King (1994) is a Disney masterpiece. It provides a colorful and multi-emotional experience while subtly delivering an important life message, enjoyable for people of all ages. Not many films are so enveloping as to successfully simultaneously deliver an action-packed adventure, romance, and comedy. Throughout the entire film, the audience is entranced by the wondrous diegesis that is created, and so easily mourns when it is supposed to mourn and laughs when it is supposed to laugh. The Lion King uses animals as opposed to humans (as in Shakespeare's Hamlet), but this contributes to the experience and message rather than takes away from them. Under all the emotion, this charming film makes a social statement, that the circle of life must inevitably continue, and death should be accepted as long it is part of the natural cycle. As a perfect mix of an emotional experience and a moral message, it's no wonder that The Lion King raked in so much revenue and is seen as one of the best films in Disney history.In many parts of the narrative, the audience is completely wrapped up by the magical atmosphere that the film creates, with help from its beautiful original score. In the scene where Mufasa dies, the audience follows Simba, both visually and emotionally, through the discovery of his father's limp body and the acceptance of his passing away. The audience feels the fear and desperation of the little Simba cub as he sees Mufasa motionless on the floor. The audience weeps for Simba as he tries to ""wake up"" his father. Later in the film, when adult Simba meets Nala, the musical accompaniment, ""Can You Feel the Love Tonight"" (composed by Elton John) (1994), really creates the romantic mood that devours the audience's heart. When Timon and Pumbaa break the audience out of that oneiric state with their funny antics, and even when they break the fourth wall, they offer a reprieve from the intense emotion present in the rest of the film. These reprieves strengthen the emotions created rather than diminish them. They are an asset to the deep emotions awakened by The Lion King.The use of lions instead of humans might be expected to reduce the emotional intensity of the film, but instead it actually, in some ways, increases it. With animals, the audience experiences defamilarization, as the death of a lion, although still sad, is less taboo and tragic than a death of human. If human Scar had murdered human Mufasa, the audience would experience boundless hate for Scar, rather than experiencing the sadness of Simba as it was supposed to. Using animals also made the diegesis much more colorful and kid-friendly. Using human characters would have created a whole other unwanted experience.Aside from the emotional aspect of the film, The Lion King also disguises a powerful social statement. At the end of the film, the child of Simba and Nala is declared the heir of the pride, as Simba was at the beginning of the film. This metaphorically completes ""The Circle of Life"" (also composed by Elton John) (1994), the title of the opening score. The audience learns that Mufasa's death was inevitable, and sooner or later Simba will die too. Death must happen to complete the cycle, and the past should not be clung on to. This important message is what makes The Lion King more than a simple narrative and a delight for 5-year-olds and 50-year-olds alike.The Lion King was made 17 years ago, yet still stands as an artful classic, despite it being an animation movie. This is a result of the intense emotional experience that an audience can't help but be enveloped by, and a powerful life lesson that is delivered flawlessly. Throughout the action, romance, and sudden comedy, the audience follows without any difficulty at all, and at the end, learns a valuable lesson. The choice to use animals also benefited the film. Aside from making the film more kid-friendly, it precisely manipulated the audience's feelings. The Lion King is a shining gem in film history, a gem that will truly stand the test of time.The Lion King will remain one of my favorite films for a long time, and if you haven't seen it yet, you definitely should."
"Favourite Disney classic","2 March 2012","9/10","To begin with: this movie is worth watching just for the music. The beginning (also optically beautiful) still gives me goosebumps. If anyone ever deserved the Oscar, it was the two guys who got it for this one! Though it's wonderful entertainment, the film also contains some serious topics, like death, taking responsibility and coping with the past. The characters are charming, the romance between Simba and Nala is really cute, and the song lyrics are worth listening twice.A little warning to parents: as I said, this is a perfect Disney classic and really recommendable to both adults and children - only not for very young ones. The scene of Mufasa's death is very sad and touching, and Scar's and Simba's fight at the end could be considered scary."
"Disneys best","28 February 2008","10/10","The lion king is one of my favourite movies of all time. It is possibly Disney's best movie and is one that any person of any age group will adore. My dad worked for Disney's video department and he got all the great Disney movies and of all of them the lion king is perhaps the best along with Aladdin and toy story. It has the worst Disney villain in the form of scar, has a truly touching story which captivates the watcher and has some of the best Disney characters to date. It won 2 Oscars one of them for best original song in the shape of ""can you feel the love tonight"". Personally i much prefferd and thought that ""the circle of life"" ""I just cant wait to be king"" or ""Hakuna Matata"". This is possibly the last great hand drawn Disney movie as well as toy story followed up a couple of years later. Truly a delight to watch and one of the best movies ever made.You have got to watch it."
"A Question of Values","4 May 2005","7/10","While I don't deny that 'The Lion King'is well animated and has a terrific score, I believe it principally a capitalist parable. Recall the scene where Mufasa walks with Simba through the plains and explains the 'natural order of things'--where the strong prey upon the weak to maintain overall balance and perfection. ""We eat the antelope, the antelope eat the grass, etc."" (trickle-down effect?) And that thrilling opening scene, where all of the animals gather to witness Simba's birth. Isn't there something a little twisted about a bunch of zebras and antelopes gathering to bray joyously about the birth of yet another lion? The lions are the heroes, and we're lead to believe that the establishment rules with an even paw. The underdogs (hyenas) are villains, and when they challenge the established order, the result is chaos and decay. Simba's decision to live the hakuna matata philosophy throws the kingdom's delicate balance out of whack. Only when power returns to the son of the old king is the land restored. The messages? Don't question the established order. It is natural and fair for the strong to take down the weak. Do your job, fulfill your function. It's best if power stays in the same hands for generation after generation. Now, this may be all well and good in the actual ecosystem of the savanna or whatever, but Disney's whole gimmick is to blur the line between animal and human, and give animals human characteristics and values. Don't underestimate the power of these messages--children obsess over animated characters. I remember as a child fighting with my friends over who would get to play 'Cinderella' in our make-believe game. Merchandise (dolls, toys, halloween costumes, spin off books, amusement parks) reinforces the message, serving as a constant reminder. So it's simply a question of what values you want your children to absorb. If they include: social darwinism, unquestioning defense of the status quo, and contempt for the underdog, this is the film for you. Otherwise, I would stick to muppets."
"Very good","11 November 2018","10/10","We enjoyed this film immensely. Great voices for the characters, including a compelling villain. Loosely follows the story of Shakespeare's Hamlet."
"The Lion King roars on!","7 April 2011","6/10","I first heard of this wonderful Disney feature when I popped in the Aladdin tape, and I knew it was going to be my favorite. A year later, I saw it in a theatre as a double feature paired with Angels in the Outfield. It was so good I did not want to see it come to an end. I begged to see it again and I got my chance at a library and it was just as mesmerizing. I finally got it on video and to this day it never fails to impress. With gorgeous animation, memorable characters, unbelievable score, and a well thought out story with a great message for anyone of any age (""We are all connected in the the great circle of life"", said Mufasa), what's not to like? My favorite song is Hakuna Matata (of course!) but I have many of these songs stuck in my head from time to time. To top it all off, I recently saw the Broadway musical and you owe it to yourself to see it.Hakuna Matata!"
"Hamlet in disguise","18 June 2018","4/10","As most people probably know by now, this is a ripoff of Shakespeare's story Hamlet. I don't really like the movie, but I cannot say that it doesn't have it's moments where it is good. The songs are memorable and it makes a classic play's plot easy to follow but changes the ending to where it's happy and kid friendly. Definitely worth at least watching it once and showing it to your kids when they're old enough to enjoy it but not understand the entire plot and the background of it."
"Just musical instrumentals made this movie beautiful.","23 August 2021","10/10","This is one of the famous Disney movies but to be honest, it didn't impress me. I think I've watched this movie just once and it's enough.I think this movie set voice actors to the famous actors so it just got so much attention.Your closest person who looks like your best friend may be a real enemy. And I agree with that."
"One word aww","5 April 2007","10/10","This is another one of my favourite films it never grows old. It is perfect to all ages. The sound track is absolutely amazing i find myself singing along to all of the songs every time i watch it (nice one Elton). It is one of only two animated films which actually make me cry which i believe is pretty hard for a film to do. Erm it is my childhood film the one that you watch so much the tape began to go weird, it was one of the only films i bought in DVD to replace the tape. It suite's all ages and all sexes. It doesn't matter what kind of films you like you'll love The Lion King. It is ideal for sitting in with a pizza to watch with the family and friends."
"A good movie for all ages","17 January 2012","10/10","This movie still brings me to tears, even after all of these years! This is one of my favorite Disney movies, ranked high up on the list along with Tangled and Little Mermaid. I am so happy that they finally re-released it on DVD!! I only wish that I had bought it when it was first released on DVD so that I could have gotten the 2 disc special. Although some of the songs are cheesy and others are great, like, I Can't Wait to be King!! I believe that this movie will continue to be a Disney classic. I just hope that my kids will enjoy this movie as much as I always have.Hakuna Matata!"
"outstanding movie","7 November 2019","10/10","This movie is so great and fantastic for everyone, specially for kids. Nice animation and story of this movie. I can see it more than 2 times. really love this movie.
I rank this animated film among the great films I have ever seen. It was part of my childhood and it is a film experience I will never forget. And hopefully, you won't either. A++"
"Beautiful","12 July 2019","10/10","After watching the copycat CGI version of this masterpiece, I went home and straight watched this again, cannot recommend enough to avoid the ""live-action"", and rewatch this instead. Amazing, incomparable."
"One of Disney's greatest movies","12 September 2013","10/10","A young lion cub named Simba is born, knowing that he will be the future king of the jungle. But after he is tricked into thinking that he killed his own father, the young cub runs away and goes into exile. When he grows older, he is forced to come back.It's pretty much common knowledge that Lion King is one of the best movies Disney has ever made. It embodies everything that makes Disney so great – excellent story, great characters, strong soundtrack, and a very capable cast of actors lending their voices.For me, the story is the best thing. Hamlet is one of my favourite Shakespeare plays, and the writers have done a great job of transferring that to the animal kingdom. The scene between Simba and the ghost of Mufasa, in particular, is very emotional and tugs at the heart-strings. I'm surprised that the film was as short as it was, to be honest, I think it could have been fleshed out a little more. But what we do get is great.Simba also probably ranks up there as one of Disney's greatest creations. It is a brilliantly-crafted character, very well-voiced by Matthew Broderick. As a kid, I remember how beloved Timon and Pumbaa were, but I didn't really see the appeal. Mufasa (James Earl Jones) and Scar (Jeremy Irons) are also very good. Coincidentally, 'The Lion King' marks the first time a major Disney character dies, which once again re-establishes the strength of the story.My only gripe with this movie is probably just the length. A little more time and the film could have been even better. But between the emotion, the brilliant songs ('Circle Of Life' is my personal favourite) and the fun characters, you have a classic. Not just a Disney classic, but a cinema classic.I'll stop masturbating now."
"A masterpiece","21 February 2022","7/10","Simply the greatest Disney film, and one of the best movies ever made.The story is simple but poignant, and it is beautifully told.I wish Disney was able to make films like this in the modern day of age, instead of focusing only in brand-type films."
"One of the best animated movie","8 June 2018","10/10","A masterpiece by Disney and still remembered by kids today as the best animation movie ever. Everyone has seen or at least heard about The Lion King and Simba's journey."
"The Lion King","26 August 2023","7/10","Certainly not one of Disney's better animations from a technical perspective - the artwork lacks the vibrancy and detail of many of their earlier stories; but the combined efforts of Sir Tim Rice, Elton John and Hans Zimmer make this an enjoyable fantasy adventure. It is told in two parts - the first sees a son ""Simba"" born to the king ""Mufasa""; a curious little fella who, alongside his friend ""Nala"" is inquisitive and mischievous - a real pain in the neck to the king's major-domo ""Zazu"". One fan the new cub really doesn't have, however, is the king's rather unimpressed brother ""Scar"" who hatches a plan to depose his brother and take over the kingdom. He manages to achieve exactly this and to get the youngster to blame himself and head off, alone, into exile. The second part is much more fun; he falls in with a warthog and is soon eating colourful grubs and living a peaceful, jolly life far from home. That idyllic existence is not to last long, however - ""Nala"" discovers he is still alive and races to alert him of the disaster that has befallen the kingdom under the rule of his uncle and his trusty band of hyenas. The musical numbers help it build to a gripping denouement, with clever, quite witty dialogue from some good - though not great - voice talents from the likes of James Earl Jones, Jeremy Irons, Nathan Lane, Matthew Broderick and Whoopi Goldberg to keep the pot boiling. It is an enjoyable film to watch but I wasn't captivated by it."
"a shining star in the history of animation","17 August 2011","4/10","Personally I enjoy most of Disney movies but this one has a special place for many reasons. The main one is that it brings me back to my childhood, and at that time I enjoyed the movie so much. I even had the VHS in English and Spanish version. Then the film came out on DVD and I also bought it. When it first came out on IMAX for any reason I couldn't go to see it again so now for the 3D release I definitely was not going to miss that opportunity. And all I can say is that this film will be forever inmortal. At the theater that I went there were people in the mid 20s like myself singing the songs, repeating the lines, it is just something that you don't see everyday. About the movie, everything has been said before: it is just so perfect, so balanced, it is a treat for the eyes for its amazing animation, it makes you laugh histerically with lovable characters like timon and pumba, it has a lot of emotional moments (spoilers) yes mufasas death is very sad but what really gets to me is when mufasa gets into the stampede to protect simba that is just heart breaking for me its not the death itself but the events that occur before his dead. Also at the very end when Simba takes his place as king is just magical, powerful it gives me chills when the bones are washed away by the rain while simba listens the voice of his father ""remember"" definitely this is pure gold a movie for old and young and a gem that will absolutely will pass the test of time."
"No bad, but it could be a lot better.","19 March 2014","10/10","The Lion King isn't a bad film. It just doesn't have anything unique and the songs are annoying as hell. The story also has a ton of stuff that isn't explained. Why doesn't Scar kill young Simba after killing Mufassa. Why does Nala travel all the way to where Simba was living with Timon and Puamba. Why is there a drought, famine, and bad weather when Scar rules. There are like all these animals, so why don't they overthrow Scar. When Simba returns to face his actions, no one supports him until he finds out he didn't kill his father. Why does the land turn back to normal after Simba returns. This is probably the most overrated Disney film, but not the worst."
"Not feeling the love tonight","20 February 2018","10/10","Difficult to deny the worldwide success of this Disney animated musical from which already has sprung a sequel, a theatrical show and now, we hear a live-action remake in the near future. And yet watching it for the first time, I'd be lion sorry, lying if I said I thought it was top drawer Disney. I've liked Elton John's music too for many years too but again didn't feel the songs he contributed (with Tim Rice as his lyricist) were his best work even if it did give his career an unexpected boost at the time.So what's not to like...well I struggled a little to side with the ruling Mafusa who when asked why it was okay for lions to eat antelopes, lamely proffered the line that lions turn back into grass when they die which then feeds the antelopes as part of the circle of life...that's not my understanding about evolution in the animal kingdom, where I thought survival of the fittest was the raison d'etre. I know the film is almost 25 years old but I also thought the animation quality wasn't of the highest while the characters repeat stock situations and emotions which Disney still peddles today, i.e. rebellious youngster leaves home before returning to heroically save the day against big bad baddie, in this case Simba's uncle Scar. Oh and of course there are cute side-attractions a-plenty, like the meerkat that thinks it's Groucho Marx, his less-than-sharp wild boar sidekick that definitely isn't a pig and a witch doctor funky gibbon all helping Simba in some way or other. I didn't really think the hyenas who support Scar were especially malevolent either.Maybe I'm just an old stick-in-the-mud but I just didn't think ""The Lion King"" lived up to expectations. No worries though or as they say in the film Hakuna Matata."
"Better than the remake","22 July 2019","10/10","Better than the 2019 remake. Animation for live action isn't a good switch on this movie. Animals in the original can express and show emotions, which kept me emotionally involved in the movie. The 2019 movie is absolutely stunning graphically, but couldn't get into it like the original because the animals can't express feeling in their voice or face."
"Of all the Disney movies growing up, this one has always been my favorite","13 April 2010","10/10","Yes, definitely my favorite hand drawn animated movie of all time. It was my favorite as a child and it still is now. This is an epic and cult tale based loosely on Shakespeare's Hamlet. Set in between Kenya or Tanzania, Africa at an unknown time, the king and queen of pride rock christen their son, Simba, as the new prince. His uncle, Scar (Jeremy Irons), however, longs for the throne, so he conjures up several plans with the hyenas to get rid of the king Mufasa (James Earl Jones) and Simba. The first one doesn't work, but in the second he is half successful. Luring Simba in a stampede of wilder-beasts (The goose bump-giving score by Hans Zimmer as powerful as ever at this point) Scar gets Mufasa to save him but then, as the king climbs to the top of a rock, Scar claws him and releases him. Simba then finds his father's dead body on the ground, and while mourning him, his uncle arrives, and convinces him it was his own fault, sending him away, with the hyenas on his tail to finish him off. Simba escapes everything and runs far away. He almost dies in the desert but is then rescued by meerkat Timon (Nathan Lane) and Warthog Pumbaa (Ernie Sabella) who teach him to adapt to a sort of hippie life of good times and bug eating. Now grown, Simba (Matthew Broderick) has a run in with Nala (Moira Kelly) his childhood friend, while she hunts Pumbaa. They fall in love and she tries to convince him to go back, but he refuses. Later, while in the grasslands, he meets up with the baboon that christened him, Rafiki, and he leads him out to speak with the ghost of his father, who reminds him of who he really is and what he must do. He speeds off back to his kingdom, now degrading under the false king, to reclaim his throne and set peace to Pride Rock.I couldn't give my opinion about this film without explaining the plot, if you'll forgive me. It really is a Disney classic that's unique in so many ways. The scene in which Simba tries to wake his dead father is horribly tragic, but extremely powerful. Disney already did something similar with Bambi, with the implication that the protagonist's mother had been killed. But it had never reached to the extent that the audience saw the death or the dead body of one of the parents. The Lion King is a 100 times more powerful than Bambi. Even though I never cried at that scene, I was always very uncomfortable with it. The script is also really cool and witty and should have been nominated for the 1994 Academy Awards, along with the winner Pulp Fiction."
"The Best Animated Film I'v Ever Seen","21 August 2008","9/10","This movie wasn't just another kid's animation movie, It was much more exciting than the other movie's, The Story Was Excellent, Every Character was noticeable and from my sight they was not boring at all, Not even one of them. They Created Simba very childish And naughty, But they also Add to him Innocent and honest. I think most of us like Timon And Pumba, I especially like Timon (Not only because I love meerkats) He's perpendicular and A show off, But there is something about him that easy to like, He's funny Sometime's He's even sensitive, Now Pumba, Thats one lovely warthog! He's so innocent, They add a lot to The Lion King. I'v seen this movie many time's, And every section that Mufasa died, I cried. The music was brilliant, very noticeable, They(Elton John, Tim Rice) Surely deserve an Oscar.The Best Animation Film. Sincerely, BanditIdan from the Bandit's Guild"
"Great!","1 June 2008","10/10","Great film! Perfect music, animation, art, cast and story. The best animated motion picture ever! Has it all: adventure, drama, romance and comedy. See it with your own eyes! Based in Bambi and Hamlet. This mix is fantastic. Disney should learn again how to make movies. Forget the Nemos, Chickens and Incredibles junk. This is the film of your life! If you don't have it buy it or rent it. If you have it watch it again! Fall in love with this film!The story of a prince and his growing up... He has to deal with friendship, family, exile, death, envy, power, love, sex, and regret. You will grow with him while you watch this. The greatest story ever told. Forget the usual romantic comedies. This is the film of your life."
"It does what it says.","21 October 2013","7/10","I think the reviewers Stuckmann & Jahns will have the 2019 TLK Summer Blockbuster live action version on the worst of list in December.Still here in autumn 2013 the reviews are still coming in.Back then in Christmas 1994 I saw the movie in the cinema, and came back many times for this movie.The movie deserved some Oscars for use of sound.An all star cast are included with names like Whoopi Goldberg that suits her role as the crazy hyena Shenzi.Jeremy Irons does what he can to play the powerful villain that get what he deserved by being assaulted by the hyenas he had control over.Back at the beginning of the movie we see Simba the lion being raised with his family.But Simba's uncle Scar wants to kill Simba's father that is the king.Simba must flee after his father is killed under a wildebeest stampede.Now it's up to Simba as older later on to get revenge on Scar.This is a classic Disney movie with something for everyone.Songs both dark and playful, thrills and funny scenes.10/10"
"Forget every Disney movie you ever witnessed","25 April 2008","NA","From the rising sun, to the up roaring film finale the lion king is the Disney film i hold closest to my childhood. I can still remember being 3 years old and getting to the cinema late, and cheering out loud at the end, yeah it would seem that now at the age of 16 turning 17 i'd have seen films a lot more closer to home and i have, but as a young child i was very observant of characters even though they were cartoons. Even though I was only three i never forget the film, I never cried at the sad points of the film and no i never really fully understood it until i watch it a few years later but i always remembered Simba's realisation that his life would never be the same. If you haven't seen the lion king *slap in the face* believe me you are missing what i describe as the last Disney film old Walt would be proud of. 10/10"
"Kimba The Hamlet","4 July 2019","NA","I remember watching this as a kid and fairly enjoying it but was surprised to know how much praise it got when I grew up. Even on this rewatch it is pretty good and entertaining. But besides the circle of life concept everything else is quite regressive themes. Add the fact that they never gave credit to Kimba, I think my rating is much higher than it should be."
